id,year,gender,jobtenure,pos,procjust,valuefit,sickdays,jobsat,distjust,jobstrain,perf,training,pos_l1,perf_l1,procjust_l1,valuefit_l1,sickdays_l1,jobsat_l1,distjust_l1,jobstrain_l1,training_l1
427,2015,1,10,3.5,4.5,4,2,.19999981,4,4.3299999,5.5999999,1,3.5,5,4,4,,1.4499998,3,2.6700001,0
427,2016,1,11,3.75,3.75,5,9,1.1999998,4,5,4.6999998,1,3.5,5,4.5,4,2,.19999981,4,4.3299999,1
428,2014,1,1,4,3.25,4,,1.27,3,1.67,3.7,0,,,,,,,,,
428,2015,1,2,4.5,3.5,3.6700001,0,1.1999998,4,4.3299999,2,0,4,3,3.25,4,,1.27,3,1.67,0
428,2016,1,3,3.25,3.25,3.3299999,17,1.1999998,4,5,2.9000001,0,4.5,1,3.5,3.6700001,0,1.1999998,4,4.3299999,0
429,2014,1,9,2.75,2,2.6700001,,2.8200002,5,2.6700001,4.6999998,1,,,,,,,,,
429,2015,1,10,2,1.5,2.6700001,0,1.5999999,5.6700001,3.6700001,2.3,1,2.75,4,2,2.6700001,,2.8200002,5,2.6700001,1
429,2016,1,11,2.5,2.75,3,0,2.5,5.3299999,3.6700001,3.3,0,2,2,1.5,2.6700001,0,1.5999999,5.6700001,3.6700001,1
430,2014,1,9,4,4,4,,.90999985,3.6700001,2,3.8,0,,,,,,,,,
430,2015,1,10,4,4,3.6700001,0,2.3000002,2.6700001,1.67,2.7,1,4,3,4,4,,.90999985,3.6700001,2,0
430,2016,1,11,3.75,3.75,4.3299999,1,.5999999,3,1.33,3.0999999,1,4,2,4,3.6700001,0,2.3000002,2.6700001,1.67,1
431,2014,1,21,4,4,4,,1,4.6700001,2,4.9000001,0,,,,,,,,,
431,2015,1,22,4.5,3.75,3.6700001,2,2.3000002,5,2.3299999,4,0,4,4,4,4,,1,4.6700001,2,0
431,2016,1,23,4.25,3.25,4.6700001,18,.69999981,6,2.6700001,4.5,1,4.5,3,3.75,3.6700001,2,2.3000002,5,2.3299999,0
432,2014,1,10,2.75,3,3.6700001,,1.8200002,5,2,3.9000001,0,,,,,,,,,
432,2015,1,11,3.25,2.75,3.3299999,1,.5999999,4.6700001,3.6700001,4,1,2.75,3,3,3.6700001,,1.8200002,5,2,0
432,2016,1,12,3.5,2.5,2.3299999,4,1.9000001,4.6700001,4,3.2,0,3.25,3,2.75,3.3299999,1,.5999999,4.6700001,3.6700001,1
433,2014,1,1,3.75,4,2,,.73000002,3,1.33,4.9000001,1,,,,,,,,,
433,2015,1,2,3,4.25,2.6700001,2,2.0999999,2.3299999,3.9400001,3.8,0,3.75,4,4,2,,.73000002,3,1.33,1
433,2016,1,3,2.75,3.25,2,2,.19999981,2.3299999,4.3299999,4.6999998,1,3,3,4.25,2.6700001,2,2.0999999,2.3299999,3.9400001,0
434,2014,1,29,3,3.5,4,,1.27,4,2,4,1,,,,,,,,,
434,2015,1,30,3.75,3.5,3.3299999,0,0,3,5,3.4000001,0,3,4,3.5,4,,1.27,4,2,1
434,2016,1,31,3.5,4,2.6700001,2,1.0999999,3,3.3299999,2.9000001,1,3.75,3,3.5,3.3299999,0,0,3,5,0
435,2014,1,4,3.25,3.75,4,,1.0900002,3,3.6700001,4.5,0,,,,,,,,,
435,2015,1,5,2.5,3.25,3.6700001,0,1,2.6700001,5,3.5,0,3.25,4,3.75,4,,1.0900002,3,3.6700001,0
435,2016,1,6,2,4.25,2.6700001,11,1.5,3.6700001,5,3.7,0,2.5,3,3.25,3.6700001,0,1,2.6700001,5,0
436,2014,1,37,2.5,2.25,3,,4.6400003,5,4,4.4000001,1,,,,,,,,,
436,2015,1,38,3.5,1.5,2.6700001,0,3.5,5.3299999,5,4.6999998,1,2.5,4,2.25,3,,4.6400003,5,4,1
436,2016,1,39,3.75,2.5,3.6700001,0,5.0999999,5.6700001,3.6700001,4.5,1,3.5,4,1.5,2.6700001,0,3.5,5.3299999,5,1
437,2014,1,3,3.5,3,3,,1.8200002,4,2.6700001,3.2,0,,,,,,,,,
437,2015,1,4,4.25,3,3.3299999,1,1.8000002,5,2.3299999,2.5999999,0,3.5,3,3,3,,1.8200002,4,2.6700001,0
437,2016,1,5,4,2,4.3299999,28,1.0999999,5.6700001,2,3.5999999,0,4.25,2,3,3.3299999,1,1.8000002,5,2.3299999,0
438,2014,1,3,4,4,4,,1.27,3,2,3.5999999,0,,,,,,,,,
438,2015,1,4,3.5,3.5,5,2,0,2.6700001,3.3299999,2,0,4,3,4,4,,1.27,3,2,0
438,2016,1,5,3.75,4.25,3.6700001,2,1,2.3299999,3.3299999,2.2,1,3.5,1,3.5,5,2,0,2.6700001,3.3299999,0
439,2014,2,5,2,2.5,3,,2.4499998,4,4,3.7,1,,,,,,,,,
439,2015,2,6,2.75,3.5,4,0,1.4000001,4.3299999,3.3299999,3.0999999,1,2,3,2.5,3,,2.4499998,4,4,1
439,2016,2,7,2.5,4.25,4.3299999,8,2.1999998,3.3299999,2.6700001,3.8,1,2.75,3,3.5,4,0,1.4000001,4.3299999,3.3299999,1
440,2014,1,23,4,4,4.6700001,,1.3600001,2.3299999,1.33,3.9000001,0,,,,,,,,,
440,2015,1,24,3,4.75,4.6700001,17,1.3000002,2.6700001,3.6700001,2.2,1,4,3,4,4.6700001,,1.3600001,2.3299999,1.33,0
440,2016,1,25,2.75,4.75,4.6700001,5,2,3.6700001,3,4.1999998,1,3,2,4.75,4.6700001,17,1.3000002,2.6700001,3.6700001,1
441,2014,1,7,3,3,4,,1.6399999,4,1.33,2.8,1,,,,,,,,,
441,2015,1,8,3.25,2.75,4,0,.5,3,4.6700001,1.6,0,3,2,3,4,,1.6399999,4,1.33,1
441,2016,1,9,4.25,2.5,3.6700001,0,2.5,3,4,2.8,1,3.25,1,2.75,4,0,.5,3,4.6700001,0
443,2014,1,10,3,3,3,,3.27,4,3,4,1,,,,,,,,,
443,2015,1,11,2.5,3.25,3.6700001,0,2.1999998,3.6700001,3.3299999,3.8,1,3,4,3,3,,3.27,4,3,1
443,2016,1,12,3.25,3.75,3.6700001,0,3,3,3.6700001,3.5,0,2.5,3,3.25,3.6700001,0,2.1999998,3.6700001,3.3299999,1
444,2014,1,25,3,2.25,3.6700001,,1.8200002,4,3.3299999,4.5999999,1,,,,,,,,,
444,2015,1,26,2.75,1.25,3.6700001,0,1.8000002,4,3.3299999,4,1,3,4,2.25,3.6700001,,1.8200002,4,3.3299999,1
444,2016,1,27,3.5,1,3.3299999,0,2.3000002,4,3.3299999,3.3,0,2.75,4,1.25,3.6700001,0,1.8000002,4,3.3299999,1
445,2014,1,30,3.75,4,4,,1.0900002,3,3,6,1,,,,,,,,,
445,2015,1,31,3.5,4,5,0,1.0999999,2,4.5999999,3.5,0,3.75,5,4,4,,1.0900002,3,3,1
445,2016,1,32,4.25,3.25,4.3299999,0,1.8000002,2,4,4.4000001,1,3.5,3,4,5,0,1.0999999,2,4.5999999,0
446,2014,1,28,4,4,4,,1.1799998,3,3,4.8000002,1,,,,,,,,,
446,2015,1,29,3,3.75,3.6700001,0,1,3,3.6700001,3,0,4,4,4,4,,1.1799998,3,3,1
446,2016,1,30,3.5,3.5,4.3299999,0,1.9000001,3.3299999,3.6700001,3.0999999,0,3,3,3.75,3.6700001,0,1,3,3.6700001,0
449,2014,1,10,2.5,3,4,,1.73,4.6700001,1.67,3.0999999,0,,,,,,,,,
449,2015,1,11,2,2.75,4.3299999,0,.5,4.6700001,5,3.4000001,1,2.5,3,3,4,,1.73,4.6700001,1.67,0
449,2016,1,12,2,3,4,9,2.4000001,4,3.6700001,3.5999999,0,2,3,2.75,4.3299999,0,.5,4.6700001,5,1
450,2014,1,22,3.25,3.25,3.3299999,,1.9099998,3.3299999,2,4.4000001,1,,,,,,,,,
450,2015,1,23,2.75,2.5,3.6700001,1,1.8000002,3.3299999,3.6700001,3.2,0,3.25,4,3.25,3.3299999,,1.9099998,3.3299999,2,1
450,2016,1,24,3.25,2.75,3.3299999,4,1.1999998,3.3299999,3.3299999,4.9000001,1,2.75,3,2.5,3.6700001,1,1.8000002,3.3299999,3.6700001,0
451,2014,1,5,3.25,3.25,3.6700001,,1.27,3.6700001,2.6700001,4.9000001,0,,,,,,,,,
451,2015,1,6,3.75,3.25,4,0,.099999905,3.3299999,3.9400001,3.4000001,0,3.25,4,3.25,3.6700001,,1.27,3.6700001,2.6700001,0
451,2016,1,7,4.25,3,5,0,.5,3.3299999,3.3299999,4.5,1,3.75,3,3.25,4,0,.099999905,3.3299999,3.9400001,0
452,2014,1,15,3.75,3.5,3,,1.5500002,3.3299999,2,3.9000001,0,,,,,,,,,
452,2015,1,16,3.5,2.75,3.6700001,0,.4000001,2.3299999,3.3299999,3.5999999,1,3.75,3,3.5,3,,1.5500002,3.3299999,2,0
452,2016,1,17,3.25,3.75,3.3299999,0,.80000019,3.6700001,4,2.5,1,3.5,3,2.75,3.6700001,0,.4000001,2.3299999,3.3299999,1
453,2014,1,22,3.75,4,3.6700001,,1.0900002,3,1,3.5999999,1,,,,,,,,,
453,2015,1,23,3,4.25,3,1,2.3000002,2.6700001,3,3.8,0,3.75,3,4,3.6700001,,1.0900002,3,1,1
453,2016,1,24,3,3.5,3,0,1,3.6700001,3.6700001,3.3,0,3,3,4.25,3,1,2.3000002,2.6700001,3,0
454,2014,1,15,4,4,4,,.90999985,3.3299999,1.33,2.0999999,1,,,,,,,,,
454,2015,1,16,3.5,3.75,5,3,2.3000002,2.6700001,4,1.4,0,4,2,4,4,,.90999985,3.3299999,1.33,1
454,2016,1,17,3.5,4.5,4,0,.30000019,2.3299999,3.6700001,1.3,0,3.5,1,3.75,5,3,2.3000002,2.6700001,4,0
455,2014,1,1,3,3.75,3,,2.73,3,2,2.5999999,0,,,,,,,,,
455,2015,1,2,3.25,4.75,4,2,1.6999998,2,4.3299999,1.6,0,3,2,3.75,3,,2.73,3,2,0
455,2016,1,3,3.75,4.25,4.3299999,1,2.6999998,3.0599999,4.3299999,3.9000001,0,3.25,1,4.75,4,2,1.6999998,2,4.3299999,0
456,2014,1,7,3.25,3.75,4.6700001,,1.4499998,4.6700001,2.6700001,3.4000001,0,,,,,,,,,
456,2015,1,8,2.25,4.5,5,0,1.3000002,5,4.3299999,2.4000001,1,3.25,3,3.75,4.6700001,,1.4499998,4.6700001,2.6700001,0
456,2016,1,9,3,3.5,4.6700001,0,1.6999998,5.6700001,3.6700001,3.0999999,1,2.25,2,4.5,5,0,1.3000002,5,4.3299999,1
457,2014,1,28,1.75,1,2.3299999,,6,4.3299999,4.3299999,4.6999998,1,,,,,,,,,
457,2015,1,29,2.25,2,2.6700001,0,4.9000001,3.3299999,3.9400001,3.5,1,1.75,4,1,2.3299999,,6,4.3299999,4.3299999,1
457,2016,1,30,2.5,2,3.3299999,0,5.8000002,2.3299999,3.6700001,2.2,0,2.25,3,2,2.6700001,0,4.9000001,3.3299999,3.9400001,1
459,2014,1,5,2.75,3,3,,2.3600001,4.3299999,3,4.3000002,1,,,,,,,,,
459,2015,1,6,2,2.25,2.3299999,0,1.1999998,5,2.6700001,4.9000001,1,2.75,4,3,3,,2.3600001,4.3299999,3,1
459,2016,1,7,2.5,2.5,2.3299999,2,2.6999998,5.6700001,3.3299999,4.4000001,1,2,4,2.25,2.3299999,0,1.1999998,5,2.6700001,1
460,2014,1,15,3.75,3.25,4,,2.27,4.3299999,1.33,2.0999999,0,,,,,,,,,
460,2015,1,16,4.5,4.25,5,25,1.0999999,5,5,3.5999999,0,3.75,2,3.25,4,,2.27,4.3299999,1.33,0
460,2016,1,17,4.75,3.25,5,0,2.4000001,5,5,3.5999999,0,4.5,3,4.25,5,25,1.0999999,5,5,0
461,2014,1,10,3.5,3,3,,2.1799998,4.6700001,2.3299999,4,0,,,,,,,,,
461,2015,1,11,3.25,2.75,3,2,1,5.3299999,3.6700001,3.5,0,3.5,3,3,3,,2.1799998,4.6700001,2.3299999,0
461,2016,1,12,3.5,3,3.3299999,0,2.1999998,6,3.6700001,3.3,0,3.25,3,2.75,3,2,1,5.3299999,3.6700001,0
462,2014,1,1,2.5,2.5,3.6700001,,2.4499998,4.3299999,3,4,0,,,,,,,,,
462,2015,1,2,2.75,2.25,4.3299999,2,1.1999998,4.6700001,5,1.2,0,2.5,3,2.5,3.6700001,,2.4499998,4.3299999,3,0
462,2016,1,3,3.5,2.5,5,1,1.9000001,5.6700001,3.3299999,3.5,0,2.75,1,2.25,4.3299999,2,1.1999998,4.6700001,5,0
463,2014,1,1,2,2.75,3,,2.6399999,5.6700001,2.3299999,6,0,,,,,,,,,
463,2015,1,2,1.5,2.5,3.6700001,1,1.4000001,5.3299999,3,2.0999999,1,2,5,2.75,3,,2.6399999,5.6700001,2.3299999,0
463,2016,1,3,2.25,3.25,4,0,1.8000002,5,3.3299999,5.3000002,0,1.5,2,2.5,3.6700001,1,1.4000001,5.3299999,3,1
464,2014,1,17,3.5,4,3.6700001,,1.4499998,3.3299999,2,3,1,,,,,,,,,
464,2015,1,18,2.75,5,3.6700001,1,1.3000002,2,5,3.5,0,3.5,2,4,3.6700001,,1.4499998,3.3299999,2,1
464,2016,1,19,3.5,4.25,4.3299999,0,1.0999999,3,4.6700001,4.5,1,2.75,3,5,3.6700001,1,1.3000002,2,5,0
465,2014,1,17,3.5,4,4,,1.73,3.3299999,2,5.8000002,1,,,,,,,,,
465,2015,1,18,2.75,3.25,4,0,1.5999999,3,5,4.3000002,1,3.5,5,4,4,,1.73,3.3299999,2,1
465,2016,1,19,3.25,2.75,4.3299999,3,1.1999998,3.3299999,3.3299999,5.9000001,0,2.75,4,3.25,4,0,1.5999999,3,5,1
466,2014,2,15,3.5,3,3,,1.73,4,3,4.6999998,0,,,,,,,,,
466,2015,2,16,3,2.5,3.6700001,2,.4000001,3.6700001,3.3299999,5,1,3.5,4,3,3,,1.73,4,3,0
466,2016,2,17,2.75,3,4,2,2.3000002,4,3.3299999,3.5999999,0,3,4,2.5,3.6700001,2,.4000001,3.6700001,3.3299999,1
467,2014,1,5,2.5,2.75,3.3299999,,3,3.6700001,3.3299999,3.7,0,,,,,,,,,
467,2015,1,6,1.75,2.75,2.3299999,0,1.9000001,2.6700001,4.6700001,2.4000001,1,2.5,3,2.75,3.3299999,,3,3.6700001,3.3299999,0
467,2016,1,7,1.5,2,1.67,0,3.8,2.6700001,4.3299999,2.8,1,1.75,2,2.75,2.3299999,0,1.9000001,2.6700001,4.6700001,1
468,2014,1,12,4,4,4,,1,3,2,3.4000001,0,,,,,,,,,
468,2015,1,13,4.5,4.75,4.6700001,0,2.4000001,3.3299999,3,3,0,4,3,4,4,,1,3,2,0
468,2016,1,14,4.25,3.75,3.6700001,0,1.0999999,3.3299999,3.6700001,3.5,0,4.5,3,4.75,4.6700001,0,2.4000001,3.3299999,3,0
469,2014,1,14,3.5,3,3,,1.3600001,4,2,4.3000002,1,,,,,,,,,
469,2015,1,15,4.25,4,2,8,1.1999998,3.6700001,4.3299999,3.0999999,0,3.5,4,3,3,,1.3600001,4,2,1
469,2016,1,16,4.25,4,1.33,0,1.1999998,3.3299999,4.3299999,3,1,4.25,3,4,2,8,1.1999998,3.6700001,4.3299999,0
470,2014,1,1,4,2.75,4,,.73000002,4.6700001,1,3.9000001,0,,,,,,,,,
470,2015,1,2,3.25,2.75,3.3299999,1,2.1999998,4.3299999,5,1.7,0,4,3,2.75,4,,.73000002,4.6700001,1,0
470,2016,1,3,3.75,2.25,2.6700001,5,1,4.3299999,5,1.5,0,3.25,1,2.75,3.3299999,1,2.1999998,4.3299999,5,0
471,2014,1,15,2.25,3,4,,3.3599999,4.6700001,1.67,3.2,0,,,,,,,,,
471,2015,1,16,3.25,3.5,3.3299999,0,2.0999999,5,3.3299999,3.0999999,1,2.25,3,3,4,,3.3599999,4.6700001,1.67,0
471,2016,1,17,3.75,2.75,4,0,2.9000001,4.3299999,3.6700001,3.7,0,3.25,3,3.5,3.3299999,0,2.0999999,5,3.3299999,1
472,2014,1,2,3,2,4.3299999,,2.5500002,5.6700001,4,4,0,,,,,,,,,
472,2015,1,3,3.25,1.25,4,8,1.4000001,4.3299999,3.6700001,3.7,0,3,3,2,4.3299999,,2.5500002,5.6700001,4,0
472,2016,1,4,2.75,1.75,3.6700001,0,3,3.3299999,3.3299999,4.3000002,1,3.25,3,1.25,4,8,1.4000001,4.3299999,3.6700001,0
473,2014,1,5,3.25,3,4.6700001,,3,4,2,4.9000001,1,,,,,,,,,
473,2015,1,6,3.5,3,3.6700001,2,1.6999998,4.3299999,2.3299999,3.8,1,3.25,4,3,4.6700001,,3,4,2,1
473,2016,1,7,3,3.75,3.3299999,0,3.7,3.6700001,2.6700001,2.0999999,1,3.5,3,3,3.6700001,2,1.6999998,4.3299999,2.3299999,1
474,2014,1,5,3.75,3.5,3,,1.3600001,3.3299999,1.67,5.1999998,1,,,,,,,,,
474,2015,1,6,4,3.5,3.3299999,1,1.3000002,3,4.5999999,4.5999999,1,3.75,5,3.5,3,,1.3600001,3.3299999,1.67,1
474,2016,1,7,4.5,3.5,2.6700001,1,1.5,2.3299999,4.3299999,2.8,1,4,4,3.5,3.3299999,1,1.3000002,3,4.5999999,1
475,2014,1,3,3.5,3,4,,1.5500002,3.6700001,3,4.5999999,1,,,,,,,,,
475,2015,1,4,4,2.5,3.6700001,2,1.5,3.6700001,5,5,0,3.5,4,3,4,,1.5500002,3.6700001,3,1
475,2016,1,5,3.5,2.75,3.6700001,6,2.3000002,2.6700001,5,4.8000002,1,4,5,2.5,3.6700001,2,1.5,3.6700001,5,0
476,2014,1,25,3,3,3,,1.5500002,4,3,4.6999998,1,,,,,,,,,
476,2015,1,26,2.75,3.25,2.3299999,0,.30000019,3.6700001,4,3.3,1,3,4,3,3,,1.5500002,4,3,1
476,2016,1,27,3.5,4.25,2,0,1.6999998,4.3299999,4.3299999,3.7,0,2.75,3,3.25,2.3299999,0,.30000019,3.6700001,4,1
477,2014,1,1,3.75,2.75,4,,1.6399999,3,2.3299999,4.4000001,1,,,,,,,,,
477,2015,1,2,3.5,2.25,4,0,.4000001,4,3,4.1999998,1,3.75,4,2.75,4,,1.6399999,3,2.3299999,1
477,2016,1,3,3,2.5,5,0,.80000019,3.3299999,2.6700001,3.4000001,0,3.5,4,2.25,4,0,.4000001,4,3,1
478,2014,1,2,4,4,4.3299999,,1.0900002,3,1.67,5.6999998,0,,,,,,,,,
478,2015,1,3,4.25,4,4.3299999,0,1,2,3.9400001,2,1,4,5,4,4.3299999,,1.0900002,3,1.67,0
478,2016,1,4,4.25,4,3.3299999,0,1.5999999,3.3299999,4.3299999,3.4000001,0,4.25,2,4,4.3299999,0,1,2,3.9400001,1
479,2014,2,8,3.75,4,3.6700001,,1.0900002,3,2,4.8000002,1,,,,,,,,,
479,2015,2,9,3.5,3.25,3.3299999,0,2.4000001,4,4,3,0,3.75,4,4,3.6700001,,1.0900002,3,2,1
479,2016,2,10,4.25,4.25,3.6700001,0,1.3000002,3.3299999,3.6700001,3.0999999,1,3.5,3,3.25,3.3299999,0,2.4000001,4,4,0
480,2014,2,17,3,3,3.3299999,,3.3599999,4,3.6700001,5.4000001,0,,,,,,,,,
480,2015,2,18,2.5,2.75,2.6700001,0,2.1999998,3,5,4.0999999,1,3,5,3,3.3299999,,3.3599999,4,3.6700001,0
480,2016,2,19,2.25,3.75,1.67,1,3.4000001,3.6700001,3.3299999,4.3000002,1,2.5,4,2.75,2.6700001,0,2.1999998,3,5,1
481,2014,2,1,3,3.25,4,,3.27,3,4,3.0999999,0,,,,,,,,,
481,2015,2,2,3.75,3.25,3,16,2.0999999,3.6700001,5,3.5,0,3,3,3.25,4,,3.27,3,4,0
481,2016,2,3,3.25,3.5,3.6700001,0,2.5999999,4,4.6700001,3.0999999,1,3.75,3,3.25,3,16,2.0999999,3.6700001,5,0
482,2014,1,3,3.5,3.5,4,,1.1799998,3,3.6700001,2.5999999,1,,,,,,,,,
482,2015,1,4,3,3.75,4,0,0,2.6700001,5,2.3,1,3.5,2,3.5,4,,1.1799998,3,3.6700001,1
482,2016,1,5,3.25,4,3.3299999,11,.69999981,3.3299999,4.6700001,2,1,3,2,3.75,4,0,0,2.6700001,5,1
483,2014,1,24,3.75,4,4,,1.4499998,3.3299999,2.6700001,6,0,,,,,,,,,
483,2015,1,25,4.5,3.75,4.6700001,1,.30000019,3.3299999,2.3299999,2.5999999,1,3.75,5,4,4,,1.4499998,3.3299999,2.6700001,0
483,2016,1,26,5,4.5,4.6700001,1,1.1999998,2.6700001,2,2.7,1,4.5,2,3.75,4.6700001,1,.30000019,3.3299999,2.3299999,1
484,2014,1,5,3.25,3,3.6700001,,2.0900002,4,2.3299999,3.5,0,,,,,,,,,
484,2015,1,6,2.25,3.25,4,18,.9000001,3,3.9400001,2.3,1,3.25,3,3,3.6700001,,2.0900002,4,2.3299999,0
484,2016,1,7,2.75,2.75,4,1,1.5999999,2.3299999,4,2.2,1,2.25,2,3.25,4,18,.9000001,3,3.9400001,1
485,2014,1,2,4,4,4,,.90999985,3,2,2.7,1,,,,,,,,,
485,2015,1,3,3,3.25,3.6700001,0,2.3000002,3,4,2.2,0,4,2,4,4,,.90999985,3,2,1
485,2016,1,4,3,3,3.6700001,2,.69999981,2.6700001,4,1,0,3,2,3.25,3.6700001,0,2.3000002,3,4,0
486,2014,1,5,3.5,4,3.6700001,,1,3,2,3.0999999,1,,,,,,,,,
486,2015,1,6,3.5,5,3,6,2.3000002,2.3299999,2.3299999,3.4000001,1,3.5,3,4,3.6700001,,1,3,2,1
486,2016,1,7,3,4.25,2.6700001,1,.5999999,2,3,3.4000001,1,3.5,3,5,3,6,2.3000002,2.3299999,2.3299999,1
487,2014,1,22,3.5,4,4.6700001,,2.9099998,3,3,4.8000002,1,,,,,,,,,
487,2015,1,23,4.5,3.75,5,4,1.8000002,3.3299999,5,4.9000001,1,3.5,4,4,4.6700001,,2.9099998,3,3,1
487,2016,1,24,4.75,3,4.3299999,0,3.4000001,3.6700001,3.6700001,5.4000001,1,4.5,4,3.75,5,4,1.8000002,3.3299999,5,1
488,2014,1,30,3,3,3,,1.4499998,4.6700001,2.3299999,4.9000001,1,,,,,,,,,
488,2015,1,31,3.5,3,3.3299999,2,1.4000001,4.6700001,5,5.5999999,0,3,4,3,3,,1.4499998,4.6700001,2.3299999,1
488,2016,1,32,3.75,2,4,0,1.3000002,3.6700001,3.3299999,4.0999999,1,3.5,5,3,3.3299999,2,1.4000001,4.6700001,5,0
489,2014,1,1,3.75,3.5,4,,2.3600001,4,2,4.3000002,1,,,,,,,,,
489,2015,1,2,4.25,4.25,4,0,1.1999998,4.6700001,5,4.8000002,1,3.75,4,3.5,4,,2.3600001,4,2,1
489,2016,1,3,4,3.75,4,0,3.0999999,4,3.3299999,4,0,4.25,4,4.25,4,0,1.1999998,4.6700001,5,1
491,2014,1,3,4.25,4.25,4,,.63999987,3.3299999,2,4.6999998,1,,,,,,,,,
491,2015,1,4,3.5,4.75,5,2,2,4,3.3299999,2.5,1,4.25,4,4.25,4,,.63999987,3.3299999,2,1
491,2016,1,5,4,4.25,4.3299999,4,.30000019,3.6700001,3,4.4000001,1,3.5,2,4.75,5,2,2,4,3.3299999,1
492,2014,1,1,4,3.25,3,,1,4,3.3299999,3.7,0,,,,,,,,,
492,2015,1,2,5,3.75,2.6700001,0,2.4000001,5,3,3.5999999,0,4,3,3.25,3,,1,4,3.3299999,0
492,2016,1,3,5,3.25,2.3299999,0,.9000001,5.6700001,2.6700001,4.5999999,1,5,3,3.75,2.6700001,0,2.4000001,5,3,0
493,2014,1,28,3.75,4,4,,1.4499998,3,2,3.5,0,,,,,,,,,
493,2015,1,29,3.5,3.5,4.6700001,28,.19999981,2.3299999,3.6700001,3.4000001,0,3.75,3,4,4,,1.4499998,3,2,0
493,2016,1,30,3.75,3.5,4.3299999,0,1.5,3.3299999,4,3.4000001,0,3.5,3,3.5,4.6700001,28,.19999981,2.3299999,3.6700001,0
494,2014,1,2,4,4,4.3299999,,.63999987,3,1,2.8,1,,,,,,,,,
494,2015,1,3,4,3.75,5,1,1.9000001,2.3299999,4.3299999,2,0,4,2,4,4.3299999,,.63999987,3,1,1
494,2016,1,4,3.25,4.25,3.6700001,9,1.3000002,2.3299999,5,1.3,1,4,1,3.75,5,1,1.9000001,2.3299999,4.3299999,0
